,Player,Salary,
447,Jonathon Simmons,"$525,093 ",
447,Duje Dukan,"$525,093 ",
447,Luis Montero,"$525,093 ",
447,Cliff Alexander,"$525,093 ",
447,TJ McConnell,"$525,093 ",
447,Josh Richardson,"$525,093 ",
447,Michael Frazier,"$525,093 ",
447,Anthony Brown,"$525,093 ",
447,Marcelo Huertas,"$525,093 ",
447,Branden Dawson,"$525,093 ",
447,Maurice Ndour,"$525,093 ",
447,Salah Mejri,"$525,093 ",
447,Cristiano Felicio,"$525,093 ",
447,Aaron Harrison,"$525,093 ",
447,Willie Reed,"$525,093 ",
447,Lamar Patterson,"$525,093 ",
464,Cory Jefferson,"$362,878 ",
465,Elijah Millsap,"$352,936 ",
466,Nazr Mohammed,"$352,749 ",
467,Jarell Eddie,"$349,032 ",
468,Christian Wood,"$339,762 ",
469,Sean Kilpatrick,"$320,594 ",
470,Michael Beasley,"$306,526 ",
471,Jorge Gutierrez,"$300,899 ",
472,Jeff Ayres,"$251,890 ",
473,Lorenzo Brown,"$222,888 ",
474,Andrew Goudelock,"$200,600 ",
475,Scottie Wilbekin,"$200,000 ",
476,Erick Green,"$199,418 ",
477,Greg Smith,"$197,111 ",
478,Jordan McRae,"$172,971 ",
479,Henry Sims,"$161,633 ",
480,Xavier Munford,"$123,548 ",
481,Jordan Hamilton,"$119,461 ",
482,Alan Williams,"$114,284 ",
483,Orlando Johnson,"$111,444 ",
484,Jonathan Holmes,"$100,000 ",
485,Bryce Cotton,"$99,418 ",
485,Justin Harper,"$99,418 ",
487,Alex Stepheson,"$92,662 ",
488,Chuck Hayes,"$70,549 ",
489,Keith Appling,"$61,775 ",
489,Bryce Dejean-Jones,"$61,775 ",
489,Axel Toupane,"$61,775 ",
492,Briante Weber,"$61,774 ",
492,Coty Clarke,"$61,774 ",
494,Elliot Williams,"$57,726 ",
495,Quincy Miller,"$50,000 ",
496,JJ O'Brien,"$30,887 ",
496,Thanasis Antetokounmpo,"$30,887 ",
498,Nate Robinson,"$26,456 ",
499,Dorell Wright,"$17,637 ",
500,John Holland,"$9,266 ",
